simulation_id,mean_profit,profit_volatility
0,1393.3608866620093,65.49691008351955
1,1399.6199321395948,70.8566216409351
2,1391.202011097899,73.82119327092359
3,1396.1431798941805,78.02732631142061
4,1397.0790353653642,85.8614743664761
5,1417.851415486734,75.96750767269191
6,1415.7008158247831,82.40623429491907
7,1396.4112338234545,78.71956200940926
8,1418.1827972609085,78.31700914603893
9,1387.835236641634,77.52928987868057
10,1420.2873013636306,65.8320544316891
11,1420.6517321075094,75.38752678073
12,1423.312438544275,80.78707628280112
13,1399.1956206336636,68.9776599229246
14,1440.436672481961,89.39816792123403
15,1403.434903405525,85.90006617486829
16,1391.3895153090375,97.76526176277136
17,1400.736652914654,72.93942861371438
18,1435.0533179150875,100.07486175279982
19,1422.021821766003,99.92072584770537
20,1396.8665771744545,89.54810766639116
21,1411.935394766954,91.04552097672718
22,1407.5252277711313,93.76931985745064
23,1390.9771194399436,72.53968540144886
24,1402.8634925383374,87.70513979677591
25,1428.658414450929,91.9916737275994
26,1390.2668797926879,75.61050443378097
27,1420.8686502511905,95.42182114734426
28,1372.1420578309337,71.64999459488585
29,1415.5473272231209,62.64688870812197
30,1373.6930889648484,67.05274381723731
31,1407.6034589572173,78.24053910488506
32,1377.7066309449217,75.81877465408964
33,1425.246395502306,72.5277589036746
34,1398.6907513602118,81.90299870423006
35,1392.74026701164,69.99827162366985
36,1394.7424355673356,89.99678431500942
37,1423.9587085230587,99.74088841862405
38,1418.022304240572,99.75739479612305
39,1418.4213613154434,101.9950958489591
40,1404.0973434729738,107.9852862190297
41,1399.5680039713618,96.12095878330491
42,1437.3858677306282,90.68584152109251
43,1404.3836658856426,63.849662671123504
44,1406.2855571803095,75.60320553199844
45,1399.0857361583378,85.48999514179582
46,1417.1956985350207,64.92209266412641
47,1398.2419922241952,68.62481486548644
48,1422.0652172872356,82.67500060361986
49,1406.8007722902748,82.82974230985019
