county_id,county_name,mean_profit,profit_std
cambridgeshire,Cambridgeshire,1535.1361620020175,2157.641127570376
norfolk,Norfolk,1507.1997956592668,2118.66663261203
suffolk,Suffolk,1484.459157722083,2085.555212068393
lincolnshire,Lincolnshire,1458.241621654706,2056.146882258577
essex,Essex,1444.4419009075436,2047.2268055587374
east_riding_yorkshire,East Riding of Yorkshire,1428.755422542739,2026.2582078276055
nottinghamshire,Nottinghamshire,1398.7026385683837,1985.6111215299916
north_yorkshire,North Yorkshire,1380.0148220828746,1965.9588068204193
kent,Kent,1351.1763031847474,1929.846088362069
wiltshire,Wiltshire,1332.869435888552,1906.3748235111057
hampshire,Hampshire,1287.2944472388017,1853.3927591648824
herefordshire,Herefordshire,1264.7322098431,1826.223145186618
